,V1,V2,mean,variance
135,0.40228,1.1,0.146805,0.000001
136,0.40228,1.2,0.159466,0.000001
137,0.40228,1.3,0.172647,0.000001
138,0.40228,1.4,0.186315,0.000001
139,0.40228,1.5,0.200436,0.000002
140,0.40228,1.6,0.214971,0.000002
141,0.40228,1.7,0.229879,0.000002
142,0.40228,1.8,0.245115,0.000003
143,0.40228,1.9,0.260636,0.000003
144,0.40228,2,0.276394,0.000003
145,0.40228,2.1,0.292344,0.000004
146,0.40228,2.2,0.308440,0.000004
147,0.40228,2.3,0.324637,0.000005
148,0.40228,2.4,0.340892,0.000005
149,0.40228,2.5,0.357164,0.000005
150,0.40228,2.6,0.373412,0.000006
151,0.40228,2.7,0.389601,0.000006
152,0.40228,2.8,0.405697,0.000007
153,0.40228,2.9,0.421669,0.000007
154,0.40228,3,0.437488,0.000007
155,0.40228,3.1,0.453131,0.000008
156,0.40228,3.2,0.468574,0.000008
157,0.40228,3.3,0.483800,0.000008
158,0.40228,3.4,0.498791,0.000009
159,0.40228,3.5,0.513533,0.000009
160,0.40228,3.6,0.528015,0.000009
161,0.40228,3.7,0.542226,0.000009
162,0.40228,3.8,0.556158,0.000009
163,0.40228,3.9,0.569805,0.000010
164,0.40228,4,0.583160,0.000010
165,0.62542,0,0.045255,0.000000
166,0.62542,0.1,0.051231,0.000000
167,0.62542,0.2,0.057742,0.000000
168,0.62542,0.3,0.064803,0.000000
169,0.62542,0.4,0.072426,0.000000
170,0.62542,0.5,0.080622,0.000000
171,0.62542,0.6,0.089397,0.000000
172,0.62542,0.7,0.098752,0.000000
173,0.62542,0.8,0.108685,0.000000
174,0.62542,0.9,0.119188,0.000001
175,0.62542,1,0.130249,0.000001
176,0.62542,1.1,0.141854,0.000001
177,0.62542,1.2,0.153980,0.000001
178,0.62542,1.3,0.166604,0.000001
179,0.62542,1.4,0.179696,0.000002
180,0.62542,1.5,0.193224,0.000002
181,0.62542,1.6,0.207154,0.000002
182,0.62542,1.7,0.221446,0.000002
183,0.62542,1.8,0.236061,0.000003
184,0.62542,1.9,0.250958,0.000003
185,0.62542,2,0.266094,0.000004
186,0.62542,2.1,0.281426,0.000004
187,0.62542,2.2,0.296913,0.000005
188,0.62542,2.3,0.312512,0.000005
189,0.62542,2.4,0.328183,0.000006
190,0.62542,2.5,0.343887,0.000006
191,0.62542,2.6,0.359589,0.000007
192,0.62542,2.7,0.375253,0.000007
193,0.62542,2.8,0.390848,0.000008
194,0.62542,2.9,0.406344,0.000008
195,0.62542,3,0.421716,0.000008
196,0.62542,3.1,0.436939,0.000009
197,0.62542,3.2,0.451993,0.000009
198,0.62542,3.3,0.466858,0.000010
199,0.62542,3.4,0.481519,0.000010
200,0.62542,3.5,0.495961,0.000010
201,0.62542,3.6,0.510173,0.000011
202,0.62542,3.7,0.524144,0.000011
203,0.62542,3.8,0.537865,0.000011
204,0.62542,3.9,0.551329,0.000011
205,0.62542,4,0.564528,0.000012
206,0.91311,0,0.044264,0.000000
207,0.91311,0.1,0.050021,0.000000
208,0.91311,0.2,0.056284,0.000000
209,0.91311,0.3,0.063068,0.000000
